WKT,PFI,UFI,FTYPE_CODE,NFEAT_ID,EZI_RDNAME,EZIRDNMLBL,ROAD_NAME,ROAD_TYPE,RD_SUF,RD_NAME1,RD_TYPE1,RD_SUF1,RD_NAME2,RD_TYPE2,RD_SUF2,RD_NAME3,RD_TYPE3,RD_SUF3,RD_NAME4,RD_TYPE4,RD_SUF4,RD_NAME5,RD_TYPE5,RD_SUF5,RD_NAME6,RD_TYPE6,RD_SUF6,RD_NAME7,RD_TYPE7,RD_SUF7,LEFT_LOC,RIGHT_LOC,CLASS_CODE,DIR_CODE,ROUTE_NO,STRUCTNAME,HT_LIMIT,RESTRICTN,PHYS_COND,CONST_TYPE,ROAD_SEAL,DIV_RD,NRE_ROUTE,FROM_UFI,TO_UFI,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
"LINESTRING (144.97617049600001 -37.796919051999964,144.97682592800004 -37.796979782999983)",5665968,1376997,road,0,R O W Y,R O W Y,R O W Y,,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303640,2303675,1163,2000/12/17,0,2000/12/17
"LINESTRING (144.98111332400003 -37.796188941999958,144.98097870900006 -37.796983802)",5665970,1376999,road,0,NAPIER STREET,Napier St,NAPIER,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303266,2303678,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97985951700002 -37.79686519,144.98097870900006 -37.796983802)",5665971,1377000,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303607,2303678,257,2000/12/17,0,2000/12/17
"LINESTRING (144.965446961 -37.796930165999981,144.96607992000008 -37.796998949)",5665984,1377013,road,0,ELGIN STREET,Elgin St,ELGIN,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,3,B,,,0.0,,,,1,U,,2303650,2303690,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97506156200006 -37.796883254999955,144.975087143 -37.79688622499998,144.97615476400006 -37.79701003299999)",5665986,1377015,road,0,HENRY STREET,Henry St,HENRY,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303616,2303693,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97022850899998 -37.796636284999977,144.97017040000003 -37.797028300999955)",5665996,1377025,road,0,SUTTON PLACE,Sutton Pl,SUTTON,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303511,2303706,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97948186799999 -37.799054184999989,144.97958170300001 -37.798456759999965)",5667235,1378266,road,0,YOUNG STREET,Young St,YOUNG,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2304756,2304464,108,2000/12/17,0,2000/12/17
"LINESTRING (144.97846688700008 -37.798337344,144.97834212800001 -37.799058966999951)",5667239,1378270,road,0,BRUNSWICK STREET,Brunswick St,BRUNSWICK,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,U,,2304383,2304759,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97725987000001 -37.798944049999989,144.97834212800001 -37.799058966999951)",5667240,1378271,road,0,VICTORIA STREET,Victoria St,VICTORIA,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304702,2304759,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98012503300004 -37.798514958,144.98002363500007 -37.799111788)",5667255,1378286,road,0,HERTFORD STREET,Hertford St,HERTFORD,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304491,2304775,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97948186799999 -37.799054184999989,144.98002363500007 -37.799111788)",5667256,1378287,road,0,CHAPEL STREET,Chapel St,CHAPEL,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304756,2304775,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97779562699998 -37.79583698,144.97766194200005 -37.796632258999978)",5665770,1376798,road,0,FITZROY STREET,Fitzroy St,FITZROY,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2303089,2303507,108,2000/12/17,0,2000/12/17
"LINESTRING (144.97624606300008 -37.79648204099999,144.97766194200005 -37.796632258999978)",5665771,1376799,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303426,2303507,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97410924500002 -37.796681235999984,144.973089749 -37.796569069999975)",5665799,1376827,road,0,PALMERSTON STREET,Palmerston St,PALMERSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,F,,,0.0,,,,1,U,,2303529,2303466,108,2000/12/17,0,2000/12/17
"LINESTRING (144.97028760300009 -37.798616918999983,144.97032117100002 -37.798409226999979)",5666991,1378021,road,0,RATHDOWNE STREET,Rathdowne St,RATHDOWNE,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,3,B,,,0.0,,,,1,DS,,2304545,2304428,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.96977895100008 -37.798264803999984,144.96973556 -37.79855814299998,144.97028760300009 -37.798616918999983)",5666992,1378022,road,0,CITADEL PLACE,Citadel Pl,CITADEL,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2304350,2304545,3486,2000/12/17,0,2000/12/17
"LINESTRING (144.98070771900007 -37.798577357999989,144.98116312000002 -37.79862612)",5666994,1378024,road,0,JOHNSTON STREET,Johnston St,JOHNSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,ND,,2304522,2304547,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97032117100002 -37.798409226999979,144.97272574100009 -37.798675982999953)",5667032,1378062,road,0,MACARTHUR PLACE S,Macarthur Pl South,MACARTHUR,PLACE,S,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2304428,2304576,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96654591600009 -37.798594048999973,144.96728784700008 -37.798675119)",5667035,1378065,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,DS,,2304535,2304578,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.97475207500008 -37.798692607999953,144.97481101000005 -37.798343741,144.97487714700003 -37.797952111999962)",5667044,1378074,road,0,NICHOLSON STREET,Nicholson St,NICHOLSON,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,FITZROY,2,B,,,0.0,,,,1,DS,,2304583,2304193,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.98201431200005 -37.797905604999983,144.98187745300004 -37.79870261799999)",5667050,1378080,road,0,GEORGE STREET,George St,GEORGE,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304170,2304587,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96728784700008 -37.798675119,144.96766538200006 -37.798716361)",5667058,1378088,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,DS,,2304578,2304595,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.98070771900007 -37.798577357999989,144.98060547300008 -37.799173637999957)",5667295,1378326,road,0,NAPIER STREET,Napier St,NAPIER,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304522,2304805,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98002363500007 -37.799111788,144.98060547300008 -37.799173637999957)",5667296,1378327,road,0,CHAPEL STREET,Chapel St,CHAPEL,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304775,2304805,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97946120200004 -37.7991778,144.97948186799999 -37.799054184999989)",5667299,1378330,road,0,YOUNG STREET,Young St,YOUNG,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2304807,2304756,108,2000/12/17,0,2000/12/17
"LINESTRING (144.97064326600002 -37.79668081599999,144.97070824600007 -37.796307039)",5665801,1376829,road,0,RATHDOWNE STREET,Rathdowne St,RATHDOWNE,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,3,B,,,0.0,,,,1,DS,,2303532,2303322,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97064326600002 -37.79668081599999,144.97022850899998 -37.796636284999977)",5665802,1376830,road,0,LITTLE PALMERSTON STREET,Little Palmerston St,LITTLE PALMERSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303532,2303511,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97766194200005 -37.796632258999978,144.97873634400003 -37.796746144)",5665835,1376863,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303507,2303564,257,2000/12/17,0,2000/12/17
"LINESTRING (144.94399100500004 -37.796745441999974,144.94401696400007 -37.796604517999981)",5665847,1376875,road,0,NORRIS LANE,Norris Lane,NORRIS,LANE,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,2303570,2303495,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97507803500002 -37.796787804999951,144.97410924500002 -37.796681235999984)",5665862,1376890,road,0,PALMERSTON STREET,Palmerston St,PALMERSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,F,,,0.0,,,,1,U,,2303582,2303529,108,2000/12/17,0,2000/12/17
"LINESTRING (144.96762099400007 -37.796787105999954,144.96775641 -37.795989783999971)",5665863,1376891,road,0,LYGON STREET,Lygon St,LYGON,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,3,B,,,0.0,,,,1,ND,,2303583,2303168,1487,2000/12/17,0,2000/12/17
"LINESTRING (144.98187745300004 -37.79870261799999,144.98219437400007 -37.798736552999969)",5667066,1378096,road,0,JOHNSTON STREET,Johnston St,JOHNSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,ND,,2304587,2304603,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.94690542199999 -37.798522795,144.94887315900007 -37.798751883999955)",5667086,1378116,road,0,HAINES STREET,Haines St,HAINES,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,4,B,,,0.0,,,,1,DS,,2304501,2304619,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.98219437400007 -37.798736552999969,144.98271164900007 -37.79879194099999)",5667097,1378127,road,0,JOHNSTON STREET,Johnston St,JOHNSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,ND,,2304603,2304631,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.98271164900007 -37.79879194099999,144.98307514700002 -37.798830862999978)",5667110,1378140,road,0,JOHNSTON STREET,Johnston St,JOHNSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,ND,,2304631,2304645,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.96875851100003 -37.798835791999977,144.96881557100005 -37.798501125999962)",5667115,1378145,road,0,DRUMMOND STREET,Drummond St,DRUMMOND,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2304650,2304489,260,2000/12/17,0,2000/12/17
"LINESTRING (144.96766538200006 -37.798716361,144.96875851100003 -37.798835791999977)",5667116,1378146,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,DS,,2304595,2304650,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.97475207500008 -37.798692607999953,144.97477836100006 -37.798695479,144.97592089300008 -37.798819935999973,144.976136182 -37.798824728,144.97643520600002 -37.79885647499998)",5667126,1378156,road,0,VICTORIA STREET,Victoria St,VICTORIA,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304583,2304659,257,2000/12/17,0,2000/12/17
"LINESTRING (144.983486062 -37.79644061099998,144.98334949500008 -37.797235032)",5666119,1377148,road,0,GORE STREET,Gore St,GORE,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303409,2303812,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98215125800004 -37.797108059999971,144.98334949500008 -37.797235032)",5666120,1377149,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303756,2303812,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97610836299998 -37.797277605999966,144.97501333700006 -37.797162756999967)",5666152,1377181,road,0,ARGYLE STREET,Argyle St,ARGYLE,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2303841,2303779,1215,2000/12/17,0,2000/12/17
"LINESTRING (144.94458755300002 -37.796875473999989,144.94451349799999 -37.79729213)",5666160,1377189,road,0,DRYBURGH STREET,Dryburgh St,DRYBURGH,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,DS,,2303621,2303850,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98228769000002 -37.796313514999952,144.98215125800004 -37.797108059999971)",5666053,1377082,road,0,GEORGE STREET,George St,GEORGE,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303327,2303756,257,2000/12/17,0,2000/12/17
"LINESTRING (144.964618427 -37.79684013799999,144.96464676300002 -37.79665767399996,144.96473661000005 -37.796078962999957)",5665883,1376911,road,0,SWANSTON STREET,Swanston St,SWANSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,PARKVILLE,CARLTON,3,B,,,0.0,,,,1,U,,2303599,2303211,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97985951700002 -37.79686519,144.98006794800006 -37.79607804799997)",5665894,1376922,road,0,YOUNG STREET,Young St,YOUNG,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2303607,2303209,108,2000/12/17,0,2000/12/17
"LINESTRING (144.97873634400003 -37.796746144,144.97876314100006 -37.796748987,144.97985951700002 -37.79686519)",5665895,1376923,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303564,2303607,257,2000/12/17,0,2000/12/17
"LINESTRING (144.971249973 -37.79687915,144.97133626599998 -37.796376144999954)",5665901,1376929,road,0,WILLOW LANE,Willow Lane,WILLOW,LANE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303614,2303376,1154,2000/12/17,0,2000/12/17
"LINESTRING (144.97506156200006 -37.796883254999955,144.97507803500002 -37.796787804999951)",5665903,1376931,road,0,NICHOLSON STREET,Nicholson St,NICHOLSON,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,FITZROY,2,B,,,0.0,,,,1,DS,,2303616,2303582,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.94399100500004 -37.796745441999974,144.94418016500003 -37.796833865999986,144.94458755300002 -37.796875473999989)",5665906,1376935,road,0,NORRIS LANE,Norris Lane,NORRIS,LANE,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,2303570,2303621,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96762099400007 -37.796787105999954,144.96763519800004 -37.796788523999965,144.96864811900002 -37.796890048999956)",5665909,1376938,road,0,ASTOR PLACE,Astor Pl,ASTOR,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303583,2303624,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97624606300008 -37.79648204099999,144.97617049600001 -37.796919051999964)",5665930,1376959,road,0,SPRING STREET,Spring St,SPRING,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303426,2303640,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97250927800008 -37.796907141999952,144.97262241100009 -37.796921602)",5665933,1376962,road,0,KINGSLAND PLACE,Kingsland Pl,KINGSLAND,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303636,2303644,2912,2000/12/17,0,2000/12/17
"LINESTRING (144.965446961 -37.796930165999981,144.96553547899998 -37.796437707999985)",5665940,1376969,road,0,UNION PLACE,Union Pl,UNION,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303650,2303410,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96499233000009 -37.796880765999958,144.965446961 -37.796930165999981)",5665941,1376970,road,0,ELGIN STREET,Elgin St,ELGIN,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,3,B,,,0.0,,,,1,U,,2303617,2303650,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97725987000001 -37.798944049999989,144.97736700100006 -37.798310318,144.97738833000005 -37.798221824999985)",5667170,1378200,road,0,FITZROY STREET,Fitzroy St,FITZROY,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2304702,2304329,108,2000/12/17,0,2000/12/17
"LINESTRING (144.97643520600002 -37.79885647499998,144.97725987000001 -37.798944049999989)",5667171,1378201,road,0,VICTORIA STREET,Victoria St,VICTORIA,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304659,2304702,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98334949500008 -37.797235032,144.98398440400001 -37.797302296999987,144.98413457900006 -37.797318211)",5666167,1377196,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303812,2303857,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96820079300005 -37.797230189,144.96902469100007 -37.797320757999955)",5666169,1377198,road,0,ELGIN STREET,Elgin St,ELGIN,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,3,B,,,0.0,,,,1,DS,,2303810,2303858,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.97295568700008 -37.797353828999974,144.97295588100008 -37.797352666999984,144.973089749 -37.796569069999975)",5666183,1377212,road,0,CANNING STREET,Canning St,CANNING,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2303874,2303466,257,2000/12/17,0,2000/12/17
"LINESTRING (144.972449342 -37.797296733999985,144.97295568700008 -37.797353828999974)",5666184,1377213,road,0,BELLE VUE PLACE,Belle Vue Pl,BELLE VUE,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2303848,2303874,2915,2000/12/17,0,2000/12/17
"LINESTRING (144.94451349799999 -37.79729213,144.94500371100003 -37.797347489)",5666186,1377215,road,0,WOOD STREET,Wood St,WOOD,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,2303850,2303876,257,2000/12/17,0,2000/12/17
"LINESTRING (144.945570847 -37.797411547999957,144.94563723700003 -37.797017989999972,144.94560679100005 -37.797007730999951,144.94507814000008 -37.796943086,144.94500371100003 -37.797347489)",5666232,1377261,road,0,DONOVANS LANE,Donovans Lane,DONOVANS,LANE,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,2303914,2303876,254,2000/12/17,0,2000/12/17
"LINESTRING (144.94500371100003 -37.797347489,144.945570847 -37.797411547999957)",5666233,1377262,road,0,WOOD STREET,Wood St,WOOD,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,2303876,2303914,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97766194200005 -37.796632258999978,144.97752839000009 -37.797426637)",5666235,1377264,road,0,FITZROY STREET,Fitzroy St,FITZROY,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,F,,,0.0,,,,1,U,,2303507,2303917,108,2000/12/17,0,2000/12/17
"LINESTRING (144.96581893900009 -37.79851460899999,144.96587850100002 -37.798177115999977,144.96592501600003 -37.797913592999976)",5666916,1377946,road,0,CARDIGAN STREET,Cardigan St,CARDIGAN,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2304492,2304178,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96434683500001 -37.798353746999965,144.96581893900009 -37.79851460899999)",5666917,1377947,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,U,,2304392,2304492,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.94627197 -37.798449133999952,144.94690542199999 -37.798522795)",5666932,1377962,road,0,HAINES STREET,Haines St,HAINES,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,4,B,,,0.0,,,,1,DS,,2304468,2304501,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.96581893900009 -37.79851460899999,144.96621754600005 -37.798558168999989)",5666945,1377975,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,DS,,2304492,2304512,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.98084374900009 -37.79778063399999,144.98070771900007 -37.798577357999989)",5666956,1377986,road,0,NAPIER STREET,Napier St,NAPIER,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304099,2304522,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98012503300004 -37.798514958,144.98070771900007 -37.798577357999989)",5666957,1377987,road,0,JOHNSTON STREET,Johnston St,JOHNSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,ND,,2304491,2304522,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.96621754600005 -37.798558168999989,144.96654591600009 -37.798594048999973)",5666973,1378003,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,DS,,2304512,2304535,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.98307514700002 -37.798830862999978,144.98427128900005 -37.798958923999976)",5667175,1378205,road,0,JOHNSTON STREET,Johnston St,JOHNSTON,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,3,B,,,0.0,,,,1,ND,,2304645,2304705,1269,2000/12/17,0,2000/12/17
"LINESTRING (144.96875851100003 -37.798835791999977,144.97022628399998 -37.798996120999959)",5667199,1378230,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,4,B,,,0.0,,,,1,DS,,2304650,2304727,1328,2000/12/17,0,2000/12/17
"LINESTRING (144.97834212800001 -37.799058966999951,144.97836766500006 -37.79906168399998,144.97946120200004 -37.7991778)",5667300,1378331,road,0,VICTORIA STREET,Victoria St,VICTORIA,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304759,2304807,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97022628399998 -37.798996120999959,144.97195229099998 -37.79918465899999)",5667304,1378335,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2304727,2304812,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96875851100003 -37.798835791999977,144.96869707799999 -37.799196161999987)",5667312,1378343,road,0,DRUMMOND STREET,Drummond St,DRUMMOND,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2304650,2304818,260,2000/12/17,0,2000/12/17
"LINESTRING (144.98116312000002 -37.79862612,144.98107582099999 -37.79922363899999)",5667322,1378353,road,0,ROCHESTER STREET,Rochester St,ROCHESTER,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304547,2304832,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97272574100009 -37.798675982999953,144.97262562000003 -37.799253299999975)",5667341,1378372,road,0,CANNING STREET,Canning St,CANNING,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2304576,2304847,257,2000/12/17,0,2000/12/17
"LINESTRING (144.97195229099998 -37.79918465899999,144.97262562000003 -37.799253299999975)",5667342,1378373,road,0,FARADAY STREET,Faraday St,FARADAY,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,DS,,2304812,2304847,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96869707799999 -37.799196161999987,144.96930750900003 -37.79926524699999,144.969360833 -37.799262583999962)",5667347,1378378,road,0,MOTON PLACE,Moton Pl,MOTON,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2304818,2304850,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98187745300004 -37.79870261799999,144.98177576199998 -37.799298052999973)",5667372,1378403,road,0,GEORGE STREET,George St,GEORGE,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2304587,2304871,257,2000/12/17,0,2000/12/17
"LINESTRING (144.96958311800006 -37.799267757999985,144.97006091900005 -37.799316326,144.97017447000007 -37.799316660999978)",5667382,1378413,road,0,MOTON PLACE,Moton Pl,MOTON,PLACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,2304852,2304880,257,2000/12/17,0,2000/12/17
"LINESTRING (144.98097870900006 -37.796983802,144.98215125800004 -37.797108059999971)",5666054,1377083,road,0,KERR STREET,Kerr St,KERR,STREET,,,,,,,,,,,,,,,,,,,,,,,FITZROY,FITZROY,5,B,,,0.0,,,,1,U,,2303678,2303756,257,2000/12/17,0,2000/12/17
