WKT,PFI,UFI,FTYPE_CODE,NFEAT_ID,EZI_RDNAME,EZIRDNMLBL,ROAD_NAME,ROAD_TYPE,RD_SUF,RD_NAME1,RD_TYPE1,RD_SUF1,RD_NAME2,RD_TYPE2,RD_SUF2,RD_NAME3,RD_TYPE3,RD_SUF3,RD_NAME4,RD_TYPE4,RD_SUF4,RD_NAME5,RD_TYPE5,RD_SUF5,RD_NAME6,RD_TYPE6,RD_SUF6,RD_NAME7,RD_TYPE7,RD_SUF7,LEFT_LOC,RIGHT_LOC,CLASS_CODE,DIR_CODE,ROUTE_NO,STRUCTNAME,HT_LIMIT,RESTRICTN,PHYS_COND,CONST_TYPE,ROAD_SEAL,DIV_RD,NRE_ROUTE,FROM_UFI,TO_UFI,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
"LINESTRING (144.957552878 -37.811430888999951,144.95889384000009 -37.811038338)",5674299,16434447,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310832,2310646,1269,2000/12/17,0,2006/11/09
"LINESTRING (144.95701079200001 -37.811589570999956,144.957552878 -37.811430888999951)",5674386,16434448,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310902,2310832,1269,2000/12/17,0,2006/11/09
"LINESTRING (144.95644638300007 -37.811754773999951,144.95701079200001 -37.811589570999956)",5674470,16434449,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310978,2310902,1269,2000/12/17,0,2006/11/09
"LINESTRING (144.954946436 -37.81217748499995,144.95428732200003 -37.81236323,144.95428088200003 -37.812365048)",5674837,16434450,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,WEST MELBOURNE,3,B,,,0.0,,,,1,U,,2311211,2311291,3672,2000/12/17,0,2006/11/09
"LINESTRING (144.95428088200003 -37.812365048,144.95398501500006 -37.812448421999989,144.95392142700007 -37.81246620099995)",5674891,16434451,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,WEST MELBOURNE,3,B,,,0.0,,,,1,U,,2311291,2311344,3654,2000/12/17,0,2006/11/09
"LINESTRING (144.95392142700007 -37.81246620099995,144.953096 -37.812698845)",5675035,16434452,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,WEST MELBOURNE,3,B,,,0.0,,,,1,U,,2311344,2311472,2428,2000/12/17,0,2006/11/09
"LINESTRING (144.95143548800002 -37.81316682399995,144.95132189600008 -37.813198952999983,144.95032866400004 -37.813479902999973)",5675458,16434454,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,DOCKLANDS,WEST MELBOURNE,3,B,,,0.0,,,,1,U,,2311694,2311850,2428,2000/12/17,0,2006/11/09
"LINESTRING (144.95032866400004 -37.813479902999973,144.95007250000003 -37.813552733)",6239369,16434455,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,DOCKLANDS,DOCKLANDS,3,B,,,0.0,,,,1,U,,2311850,2311886,3177,2001/02/28,0,2006/11/09
"LINESTRING (144.95644638300007 -37.811754773999951,144.95643259300005 -37.811758661,144.955948799 -37.811895005)",10087213,16434457,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,WEST MELBOURNE,3,B,,,0.0,,,,1,U,,2310978,12494656,1269,2003/01/07,5674747,2006/11/09
"LINESTRING (144.955948799 -37.811895005,144.95519417399998 -37.812107669,144.954946436 -37.81217748499995)",10087214,16434458,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,WEST MELBOURNE,3,B,,,0.0,,,,1,U,,12494656,2311211,1269,2003/01/07,5674747,2006/11/09
